State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,No_Exercise,CI_Min_No_Exercise,CI_Max_No_Exercise,Few_Fruit_Veg,CI_Min_Fruit_Veg,CI_Max_Fruit_Veg,Obesity,CI_Min_Obesity,CI_Max_Obesity,High_Blood_Pres,CI_Min_High_Blood_Pres,CI_Max_High_Blood_Pres,Smoker,CI_Min_Smoker,CI_Max_Smoker,Diabetes,CI_Min_Diabetes,CI_Max_Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,Community_Health_Center_Ind,HPSA_Ind
17,67,Hancock,Illinois,IL,55,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,20,10.4,29.5,10,3.5,16.5,1780,3711,401,31.3,41.8,1,1
17,69,Hardin,Illinois,IL,72,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,484,763,179,63.6,0,1,2
17,71,Henderson,Illinois,IL,54,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,984,1228,142,37.6,12.5,1,1
17,73,Henry,Illinois,IL,18,23.9,17,30.7,81.2,72.6,89.8,20.7,14.4,27.1,15.7,8.4,23.1,20.8,13.9,27.8,6.2,2.4,9.9,5081,8043,785,33.6,31.6,2,2
17,75,Iroquois,Illinois,IL,27,37.6,27.7,47.6,-1111.1,-1111.1,-1111.1,25,16.5,33.5,-1111.1,-1111.1,-1111.1,27.1,18.1,36,8.1,2.9,13.3,3408,5417,787,45.6,26.1,2,2
17,77,Jackson,Illinois,IL,8,14.4,8.7,20.1,-1111.1,-1111.1,-1111.1,15.3,9.1,21.5,14.6,7.2,22,25.5,16.1,35,3.8,0.9,6.7,8992,6389,1305,136.3,43.1,1,2
17,79,Jasper,Illinois,IL,56,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1193,1570,160,20,20,1,1
17,81,Jefferson,Illinois,IL,34,30.9,21.7,40.2,-1111.1,-1111.1,-1111.1,32.7,23,42.5,-1111.1,-1111.1,-1111.1,30.4,21.1,39.6,12.1,5.5,18.8,5103,5690,998,64.3,39.6,1,2
17,83,Jersey,Illinois,IL,38,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,11.7,2.7,20.7,1998,2612,464,49,35.6,2,2
17,85,Jo Daviess,Illinois,IL,57,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,6.8,0.9,12.8,2099,4162,373,31,44.3,2,2
17,87,Johnson,Illinois,IL,64,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1412,1940,353,7.6,22.8,1,1
